27006, -3.5124, 0.3280, -3.4621
27206, -14.4607, 13.2871, -7.5833
27430, 13.9289, 15.3402, -3.4121
27607, 5.0003, 15.9677, -2.6711
27809, -5.2192, 11.7099, -2.2177
28006, 4.5795, 6.2458, -8.3530
28212, 14.7301, 14.8390, -4.9334
28410, -8.0629, -2.9855, -7.1519
28611, -14.7274, 11.8811, -12.8814
28814, 7.7655, 19.3969, 0.0019
29012, 7.8757, 16.6869, -1.1328
29209, -7.7566, 8.1741, 0.2594
29424, -17.2841, 17.2228, -11.2385
29613, -8.1104, 5.0076, -5.1677
29812, -11.7492, -4.6801, -8.8008
30015, -12.5845, 16.2433, -11.9114
30219, 12.4690, 19.3969, 2.6793
30412, 8.1999, 16.1004, -0.7089
30617, -2.6557, 1.4270, 6.2820
30813, 10.6657, -3.5856, 12.3498
31016, 0.6312, 11.3737, -8.0117
31219, -14.2614, -4.1989, -8.7478
31435, -11.6707, 19.3969, -9.5669
31617, 12.8855, 19.0231, 1.6735
31816, 11.6237, 16.2365, -0.9651
32015, -0.7019, 13.8102, 6.4151
32219, -12.7879, 19.3969, 11.4338
32415, -1.6060, 10.9426, -7.8295
32618, -11.4181, -2.4960, -10.4048
32817, -12.8398, 16.5138, -12.1946
33017, 5.7040, 19.3969, -0.0486
33221, 4.7802, 14.3758, 1.3238
33419, -11.6478, 5.1074, 3.0238
33619, -7.4032, 12.4366, -0.8947
33820, 13.1089, 11.5800, -3.7235
34017, -6.2703, 1.2842, -4.6333
34222, -6.7861, 15.5554, -5.6299
34419, 14.1852, 13.5607, -1.5544
34621, -3.9293, 8.1155, -6.2348
34819, -19.8506, 19.3969, -10.1812
35022, -5.9250, 19.3969, -5.6659
35227, 14.6026, 12.5191, -0.7683
35422, -3.0284, 7.2418, -8.4005
35624, -14.3086, 19.1699, -16.0245
35826, -6.7467, 6.1402, -7.9782
36024, -13.7206, -1.7694, -9.9812
36227, -9.9474, 19.3969, -10.9834
36426, 8.9664, 19.3969, -1.2665
36624, 8.3959, 13.6298, 0.0977
36825, -8.0363, 4.5851, -6.6723
37026, -7.0308, 10.3362, -13.8061
37228, 4.1355, 7.4879, -6.2142
37427, -11.8927, -1.0481, -12.8712
37635, -6.7982, 14.2342, -10.9164
37826, 13.4852, 19.3969, 0.6037
38030, 7.6029, 12.7748, 1.2407
38229, -11.3098, 10.9348, 10.1239
38429, -2.5211, 19.3969, 8.6402
38629, 10.1214, 8.5661, -4.2713
38828, -9.6004, 3.8226, -3.0866
39028, -1.8124, 16.3072, 0.0838
39229, 10.2714, 12.2094, -0.1595
39429, -9.2968, 11.5264, -6.3364
39633, -11.9233, 19.3969, -6.8492
39833, 7.5523, 19.3969, -2.5073
40030, 12.3501, 10.4892, -0.8828
40231, -2.0084, 1.9114, -9.9778
40434, 3.2968, 11.0167, -14.8138
40635, 7.0712, 8.1356, -8.2647
40835, -11.0211, 8.1082, -11.1191
41032, -7.9797, 19.3969, -8.2525
41231, 11.4757, 18.6485, -1.1745
41438, 13.7211, 11.3357, -0.0313
41633, -6.1329, 12.5566, 10.2799
41838, -8.5552, 17.5004, 3.7275
42033, -6.3729, 3.0529, -8.2994
42239, -16.6892, 7.1686, -12.6079
42438, -6.5948, 19.3969, -6.6375
42633, 10.5379, 16.7626, 0.8235
42836, 10.5699, 11.3348, -0.9886
43034, 13.7843, 14.8133, 10.1384
43239, 12.6747, 17.7608, 3.3372
43436, 5.4075, 12.8019, -7.0203
43641, -3.0503, 15.5307, -6.2766
43836, -8.7632, 11.4729, -0.1417
44043, -1.0369, 6.8409, 1.2757
44237, -4.3158, 4.5985, -3.6045
44444, -16.0984, 12.7614, -6.1094
44638, -14.3087, 10.7986, -9.6705
44841, -4.7320, 8.8187, -6.9289
45051, -2.1888, 7.1233, -3.6403
45241, -8.3899, 13.8685, -4.5688
45441, -5.2951, 14.5875, -5.9932
45641, 0.1847, 10.0631, -2.2614
45847, 0.2511, 9.2551, -0.8646
46041, 0.1918, 9.3812, -0.0726
46247, 0.1643, 9.4571, 0.6262
46445, -0.3772, 9.9820, 0.3777
46646, -2.3164, 8.7533, -0.2891
46845, -5.1144, 7.6811, -0.6564
47060, -4.2612, 8.2490, -0.4643
47245, -2.4288, 9.4024, -0.4387
47446, -3.8208, 9.5788, -0.8761
47646, -5.9561, 8.7012, -0.6046
47845, -3.0286, 9.2678, 0.1388
48046, -2.1850, 9.4188, 0.8749
48249, -1.7354, 10.0957, 0.1603
48445, -1.5275, 10.0010, 0.1656
48648, -3.0330, 9.5967, 0.9074
48849, -2.0212, 9.6509, 1.0028
